Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,Hausnummer,PLZ,Stadt,Bundesland,Telefon,Mobil,Telefax,EMail,Newsletter,Eintragsdatum
1,Frau,,Anette,Rabus,,Im Steinchen,6,60388,Frankfurt am Main,Hessen,030/79546223,0152/7671392,,anette.rabus@spam-mail.none,,17.10.1985
2,Frau,,Gritt,Alves,,Narzissenweg,140,88085,Langenargen,Baden-Württemberg,04536/67517433,0161/3782271,,galves@quickmail.none,ja,16.09.1929
3,Frau,,Liebgunde,Rebel,,Lauterberg,126,96486,Lautertal,Hessen,,0165/9705975,,,,31.10.2019
4,Frau,,Vivien,Schemm,,Südwall,198,47608,Geldern,Nordrhein-Westfalen,,0159/1364404,,,,12.07.1954
5,Herr,,Alf,Stoffregen,,Golostraße,84,35688,Dillenburg,Hessen,02771/62099692,0169/6541317,,,,17.07.1995
6,Herr,,Keno,Lohner,,Heiligen Weg,188,73113,Ottenbach,Baden-Württemberg,07165/18569666,0179/2624504,,k_lohner@xyz.none,,20.05.2016
7,Frau,,Anika,Reichelt,,Jakob-Schneider-Straße,84,57632,Eulenberg,Rheinland-Pfalz,02685/9990916,0157/8301159,,,,09.06.1977
8,Frau,,Christella,Mason,,Industriering,12,95499,Harsdorf,Bayern,,0174/7035160,,,,19.05.2012
9,Frau,,Notburg,Schäffler,30.05.1938,Damiansweg,31,54589,Stadtkyll,Rheinland-Pfalz,,,,notburgschaeffler@domain.none,,14.06.2020
10,k.A.,,Can,Casper,,Zum Eichenhain,32,79400,Kandern,Baden-Württemberg,07626/89489652,0154/9358727,,c-casper@kitty.none,,21.10.2022
11,Herr,,Viktor,Schaeffer,07.06.2019,Kurfürstenwiese,12 b,56759,Laubach,Rheinland-Pfalz,02653/46346833,0163/3301326,,v.2019@spam-mail.none,,06.11.2022
12,Herr,,Ricardo,Kaffenberger,,Olmerich,124,91731,Langfurth,Bayern,,0154/6133169,,r-kaffenberger@hoster.none,ja,20.06.2004
13,Herr,,Folker,Lazar,,Arnsberger Straße,104,79112,Freiburg,Baden-Württemberg,0761/54996420,0177/7467035,,,,19.05.2019
14,Herr,,Friedolf,Drechsler,09.10.1992,Krumme Straße,173,89197,Weidenstetten,Baden-Württemberg,07340/53659935,0173/9645944,,friedolf_drechsler@company.none,,04.11.1994
15,Herr,,Volkart,Herm,02.03.2018,Drosselstraße,63,41066,Mönchengladbach,Nordrhein-Westfalen,02161/89861913,0178/5876529,,,,28.03.2020
16,Herr,,Piet,Hauer,23.07.1975,Agnes-Bernauer-Straße,200,25370,Seester,Schleswig-Holstein,04125/53583575,0154/6669681,,piet1975@validmail.none,ja,25.08.1978
17,Herr,,Levin,Diebel,,Auf den Eichen,17,95500,Altenplos,Bayern,0921/99844277,0158/1989791,,ldiebel@retromail.none,ja,23.04.2011
18,Frau,,Reglindis,Ringwald,28.06.1951,Im Mühlental,99,89176,Asselfingen,Baden-Württemberg,07345/28604333,,,reglindisringwald@mymail.none,,09.06.1982
19,Frau,,Ramona,Feldt,,Heilmannstraße,16,39418,Neundorf,Sachsen-Anhalt,,0172/7611050,,ramonafeldt@mymail.none,ja,04.10.2009
20,Herr,,Donatus,Seiler,05.07.1919,Hartfeldstraße,48,54317,Osburg,Rheinland-Pfalz,0651/47602966,0153/2228156,0651/53947597,donatus.1919@company.none,,03.09.2013
21,Frau,,Irmgardt,Hemberger,,Auf dem Gang,181,54552,Brockscheid,Rheinland-Pfalz,,0178/3221317,06592/6844392,irmgardt.hemberger@ultramail.none,,30.10.1940
22,Herr,,Joscha,Schwanitz,18.07.1992,Backesstraße,173,90766,Fürth,Bayern,0911/86232353,0176/1722162,,,,18.07.1996
23,Herr,,Anselm,Greer,07.07.1979,St.-Castor-Straße,126,95517,Emtmannsberg,Bayern,09209/26989284,,,anselm_greer@retromail.none,,28.08.1985
24,Frau,,Dorette,Steitz,,Speichstraße,82,88693,Deggenhausertal,Baden-Württemberg,07555/8864171,,07555/23368840,dorette-steitz@inter-mail.none,,09.04.1985
25,k.A.,,Gertraute,Butsch,,Schachtweg,83,79276,Reute,Baden-Württemberg,,0178/7804253,,gertraute.butsch@ultramail.none,,12.08.1964
26,Herr,,Ringo,Steinhausen,,Kreuzgasse,122,29367,Steinhorst,Niedersachsen,,0150/4388128,,ringo.steinhausen@quickmail.none,,02.05.2012
27,Herr,,Runald,Rehwald,,Hasenfeld,165,67069,Ludwigshafen am Rhein,Rheinland-Pfalz,0621/23015646,0164/4644974,,runaldrehwald@ultramail.none,,29.08.1967
28,Frau,,Roselinde,Sacher,31.12.2021,Heinrich-Imig-Straße,119,23883,Hollenbek,Schleswig-Holstein,04547/35940306,0160/7057498,,,ja,05.12.2022
29,Herr,,Rudolph,Meixner,,Tönisheider Straße,51,24873,Havetoft,Schleswig-Holstein,04603/25587638,0173/5220327,,rudolph.meixner@xyz.none,,13.10.2016
